GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,GMH001,GMH002,GMH003,GMH004,GMH005,GMH006,GMH007,GMH008,GMH009,GMH010,GMH011,GMH012,GMH013,GMH014,GMH015,GMH016,GMH017,GMH018,GMH019,GMH020,GMH021,GMH022,GMH023,GMH024,GMH025,GMH026
"G3500230","2000","US","4","8","New Mexico","35","Hidalgo","023",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"8924148744","722985","Hidalgo County","A","+32025077","-108736570","06",,,281,224,33,65,112,89,12,24,40,65,119,42,95,31,24,3,2,131,40,18,38,38,285,181,38,89
"G3500250","2000","US","4","8","New Mexico","35","Lea","025",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"11377705796","2750135","Lea County","A","+32728441","-103327764","06",,,3859,1185,547,536,1143,1088,76,306,459,1055,421,701,481,329,83,168,122,1275,259,151,336,459,3118,906,642,549
"G3500270","2000","US","4","8","New Mexico","35","Lincoln","027",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"12512149241","735685","Lincoln County","A","+33618198","-105540971","06",,,300,904,151,126,575,254,89,283,292,373,708,223,261,82,96,67,35,723,109,75,372,233,1050,684,264,210
"G3500280","2000","US","4","8","New Mexico","35","Los Alamos","028",,,,,"0",,,,,,,,,,,,,"7490","99","N","9999","9999","9",,,,,,,,,"283202780","0","Los Alamos County","A","+35871602","-106280313","06",,,8,245,78,84,213,65,91,141,978,395,229,128,2932,0,43,31,45,185,13,110,185,606,1291,262,114,1184
"G3500290","2000","US","4","8","New Mexico","35","Luna","029",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"7679544556","488373","Luna County","A","+32176393","-107712209","06",,,446,704,267,107,500,297,40,105,174,285,229,276,444,48,38,275,70,279,84,35,200,133,1249,509,145,222
"G3500310","2000","US","4","8","New Mexico","35","McKinley","031",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"14112121031","16821173","McKinley County","A","+35568054","-108409236","06",,,422,1483,839,476,1512,752,154,223,486,2062,666,622,986,72,145,514,240,1467,195,81,539,312,5049,1139,413,1091
"G3500330","2000","US","4","8","New Mexico","35","Mora","033",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"5001516792","6163875","Mora County","A","+35986698","-104919077","06",,,190,164,21,8,69,68,15,21,28,92,105,52,65,28,9,18,9,49,39,12,28,36,383,93,7,77
"G3500350","2000","US","4","8","New Mexico","35","Otero","035",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"17162558057","2401912","Otero County","A","+32788676","-105818104","06",,,477,1796,1120,201,1191,934,123,373,886,1123,873,687,1934,205,250,508,58,1605,280,122,670,540,3287,1310,627,754
"G3500370","2000","US","4","8","New Mexico","35","Quay","037",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"7446024141","17797623","Quay County","A","+35111229","-103624597","06",,,441,272,55,36,333,225,57,22,65,202,174,112,115,32,12,14,22,346,41,25,110,38,699,293,124,179
"G3500390","2000","US","4","8","New Mexico","35","Rio Arriba","039",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"15171195655","99641340","Rio Arriba County","A","+36448433","-106718230","06",,,559,1578,417,210,839,461,91,165,686,937,730,478,1289,134,161,202,91,708,160,101,450,609,2526,1185,370,1426
